introduction to energy resources	Peter Grossman	https://en.wikipedia.org/wiki/Peter_Grossman
obtaining energy resources	United States Department of Energy	https://en.wikipedia.org/wiki/United_States_Department_of_Energy
energy conservation	Energy conservation	https://en.wikipedia.org/wiki/Energy_conservation
renewable vs non renewable energy resources	Renewable energy in Scotland	https://en.wikipedia.org/wiki/Renewable_energy_in_Scotland
energy use	Efficient energy use	https://en.wikipedia.org/wiki/Efficient_energy_use
non renewable energy resources	History of sustainability	https://en.wikipedia.org/wiki/History_of_sustainability
fossil fuel formation	Cross-boundary subsidy	https://en.wikipedia.org/wiki/Cross-boundary_subsidy
coal power	Fossil-fuel power station	https://en.wikipedia.org/wiki/Fossil-fuel_power_station
petroleum power	Bob Nwannunu	https://en.wikipedia.org/wiki/Bob_Nwannunu
natural gas power	Alum Tulcea Power Station	https://en.wikipedia.org/wiki/Alum_Tulcea_Power_Station
nuclear power	Nuclear power	https://en.wikipedia.org/wiki/Nuclear_power
renewable energy resources	Renewable energy	https://en.wikipedia.org/wiki/Renewable_energy
solar power	Solar power	https://en.wikipedia.org/wiki/Solar_power
hydroelectric power	Hydroelectricity	https://en.wikipedia.org/wiki/Hydroelectricity
wind power	Wind power	https://en.wikipedia.org/wiki/Wind_power
geothermal power	Geothermal electricity	https://en.wikipedia.org/wiki/Geothermal_electricity
energy from biomass	Forests of Kosovo	https://en.wikipedia.org/wiki/Forests_of_Kosovo
natural resources non energy	Non-renewable resource	https://en.wikipedia.org/wiki/Non-renewable_resource
materials humans use	Full Thrust	https://en.wikipedia.org/wiki/Full_Thrust
availability of natural resources	Maya architecture	https://en.wikipedia.org/wiki/Maya_architecture
natural resource conservation	Washington Natural Areas Program	https://en.wikipedia.org/wiki/Washington_Natural_Areas_Program
ore deposits	Carbonate-hosted lead-zinc ore deposits	https://en.wikipedia.org/wiki/Carbonate-hosted_lead-zinc_ore_deposits
mining ores	Hohengeroldseck	https://en.wikipedia.org/wiki/Hohengeroldseck
renewable versus non renewable resources	Renewable portfolio standard	https://en.wikipedia.org/wiki/Renewable_portfolio_standard
earths shape	Figure of the Earth	https://en.wikipedia.org/wiki/Figure_of_the_Earth
earths magnetic field	Earth's magnetic field	https://en.wikipedia.org/wiki/Earth%27s_magnetic_field
revolutions of earth	STS-101	https://en.wikipedia.org/wiki/STS-101
rotation of earth	Earth's rotation	https://en.wikipedia.org/wiki/Earth%27s_rotation
coriolis effect	Coriolis effect	https://en.wikipedia.org/wiki/Coriolis_effect
seasons	Season	https://en.wikipedia.org/wiki/Season
eclipses	Eclipse	https://en.wikipedia.org/wiki/Eclipse
solar eclipses	Solar eclipse	https://en.wikipedia.org/wiki/Solar_eclipse
lunar eclipses	Lunar eclipse	https://en.wikipedia.org/wiki/Lunar_eclipse
lunar phases	Lunar phase	https://en.wikipedia.org/wiki/Lunar_phase
earths interior	Structure of the Earth	https://en.wikipedia.org/wiki/Structure_of_the_Earth
seismic waves	Seismic wave	https://en.wikipedia.org/wiki/Seismic_wave
earths interior material	Earth	https://en.wikipedia.org/wiki/Earth
earths crust	Crust (geology)	https://en.wikipedia.org/wiki/Crust_(geology)
earths mantle	Mantle (geology)	https://en.wikipedia.org/wiki/Mantle_(geology)
earths core	Inner core	https://en.wikipedia.org/wiki/Inner_core
lithosphere and asthenosphere	Tectonophysics	https://en.wikipedia.org/wiki/Tectonophysics
continental drift	Continental drift	https://en.wikipedia.org/wiki/Continental_drift
wegener and the continental drift hypothesis	Timeline of the development of tectonophysics (before 1954)	https://en.wikipedia.org/wiki/Timeline_of_the_development_of_tectonophysics_(before_1954)
magnetic polarity evidence for continental drift	Geomagnetic reversal	https://en.wikipedia.org/wiki/Geomagnetic_reversal
bathymetric evidence for seafloor spreading	Lihi Seamount	https://en.wikipedia.org/wiki/L%C5%8D%CA%BBihi_Seamount
magnetic evidence for seafloor spreading	Plate tectonics	https://en.wikipedia.org/wiki/Plate_tectonics
seafloor spreading hypothesis	Seafloor spreading	https://en.wikipedia.org/wiki/Seafloor_spreading
plate tectonics through earth history	Earth	https://en.wikipedia.org/wiki/Earth
theory of plate tectonics	Plate tectonics	https://en.wikipedia.org/wiki/Plate_tectonics
tectonic plate motions	Adam Dziewonski	https://en.wikipedia.org/wiki/Adam_Dziewonski
plate boundary interactions	Hadean	https://en.wikipedia.org/wiki/Hadean
divergent plate boundaries in the oceans	Divergent boundary	https://en.wikipedia.org/wiki/Divergent_boundary
divergent plate boundaries	Divergent boundary	https://en.wikipedia.org/wiki/Divergent_boundary
transform plate boundaries	Transform fault	https://en.wikipedia.org/wiki/Transform_fault
ocean continent convergent plate boundaries	Convergent boundary	https://en.wikipedia.org/wiki/Convergent_boundary
ocean ocean convergent plate boundaries	Convergent boundary	https://en.wikipedia.org/wiki/Convergent_boundary
continent continent convergent plate boundaries	Convergent boundary	https://en.wikipedia.org/wiki/Convergent_boundary
continental margins	Continental margin	https://en.wikipedia.org/wiki/Continental_margin
supercontinent cycle	Supercontinent cycle	https://en.wikipedia.org/wiki/Supercontinent_cycle
intraplate activity	1992 Cape Mendocino earthquakes	https://en.wikipedia.org/wiki/1992_Cape_Mendocino_earthquakes
principle of horizontality	Principle of original horizontality	https://en.wikipedia.org/wiki/Principle_of_original_horizontality
folds	Ben Folds	https://en.wikipedia.org/wiki/Ben_Folds
mountain building	Orogeny	https://en.wikipedia.org/wiki/Orogeny
earthquake characteristics	1906 Aleutian Islands earthquake	https://en.wikipedia.org/wiki/1906_Aleutian_Islands_earthquake
earthquake zones	Earthquake zones of India	https://en.wikipedia.org/wiki/Earthquake_zones_of_India
earthquakes at transform plate boundaries	Transform fault	https://en.wikipedia.org/wiki/Transform_fault
earthquakes at convergent plate boundaries	Convergent boundary	https://en.wikipedia.org/wiki/Convergent_boundary
intraplate earthquakes	Intraplate earthquake	https://en.wikipedia.org/wiki/Intraplate_earthquake
tsunami	Tsunami	https://en.wikipedia.org/wiki/Tsunami
21st century tsunami	2009 Papua earthquake	https://en.wikipedia.org/wiki/2009_Papua_earthquake
measuring earthquake magnitude	Moment magnitude scale	https://en.wikipedia.org/wiki/Moment_magnitude_scale
scales that represent earthquake magnitude	Richter magnitude scale	https://en.wikipedia.org/wiki/Richter_magnitude_scale
predicting earthquakes	Earthquake prediction	https://en.wikipedia.org/wiki/Earthquake_prediction
earthquake damage	1927 Kita Tango earthquake	https://en.wikipedia.org/wiki/1927_Kita_Tango_earthquake
earthquake safe structures	Alameda High School	https://en.wikipedia.org/wiki/Alameda_High_School
volcano characteristics	Outline of physical science	https://en.wikipedia.org/wiki/Outline_of_physical_science
volcanoes at plate boundaries	Mantle plume	https://en.wikipedia.org/wiki/Mantle_plume
volcanoes at hotspots	Mauna Kea	https://en.wikipedia.org/wiki/Mauna_Kea
types of volcanic eruptions	Types of volcanic eruptions	https://en.wikipedia.org/wiki/Types_of_volcanic_eruptions
magma composition at volcanoes	Mount Merapi	https://en.wikipedia.org/wiki/Mount_Merapi
explosive eruptions	Explosive eruption	https://en.wikipedia.org/wiki/Explosive_eruption
effusive eruptions	Effusive eruption	https://en.wikipedia.org/wiki/Effusive_eruption
types of volcanoes	List of mountain types	https://en.wikipedia.org/wiki/List_of_mountain_types
supervolcanoes	Supervolcano	https://en.wikipedia.org/wiki/Supervolcano
volcanic landforms	Volcanic group	https://en.wikipedia.org/wiki/Volcanic_group
hot springs and geysers	Geyserite	https://en.wikipedia.org/wiki/Geyserite
weathering and erosion	Detritus (geology)	https://en.wikipedia.org/wiki/Detritus_(geology)
mechanical weathering	Weathering	https://en.wikipedia.org/wiki/Weathering
chemical weathering	Weathering	https://en.wikipedia.org/wiki/Weathering
influences on weathering	Watauga River	https://en.wikipedia.org/wiki/Watauga_River
soil characteristics	Soil type	https://en.wikipedia.org/wiki/Soil_type
soil formation	Pedogenesis	https://en.wikipedia.org/wiki/Pedogenesis
soil horizons and profiles	Soil horizon	https://en.wikipedia.org/wiki/Soil_horizon
soil erosion	Erosion	https://en.wikipedia.org/wiki/Erosion
avoiding soil loss	Soil	https://en.wikipedia.org/wiki/Soil
soil pollution	Soil contamination	https://en.wikipedia.org/wiki/Soil_contamination
hazardous waste	Hazardous waste	https://en.wikipedia.org/wiki/Hazardous_waste
preventing hazardous waste problems	Waste	https://en.wikipedia.org/wiki/Waste
environmental impacts of mining	Coal mining	https://en.wikipedia.org/wiki/Coal_mining
erosion and deposition	River channel migration	https://en.wikipedia.org/wiki/River_channel_migration
landforms from stream erosion and deposition	Erosion	https://en.wikipedia.org/wiki/Erosion
landforms from groundwater erosion and deposition	Erosion	https://en.wikipedia.org/wiki/Erosion
erosion by streams	Queen Mary Falls	https://en.wikipedia.org/wiki/Queen_Mary_Falls
deposition by streams	Drainage divide	https://en.wikipedia.org/wiki/Drainage_divide
erosion by groundwater	Mining in Brazil	https://en.wikipedia.org/wiki/Mining_in_Brazil
deposition by groundwater	Eutrophication	https://en.wikipedia.org/wiki/Eutrophication
landforms from wave erosion and deposition	Coastal erosion	https://en.wikipedia.org/wiki/Coastal_erosion
landforms from wind erosion and deposition	Wind	https://en.wikipedia.org/wiki/Wind
erosion by wind	Chambers Pillar	https://en.wikipedia.org/wiki/Chambers_Pillar
landforms from glacial erosion and deposition	Glacial landform	https://en.wikipedia.org/wiki/Glacial_landform
erosion by glaciers	Broken Top	https://en.wikipedia.org/wiki/Broken_Top
deposition by glaciers	Drift (geology)	https://en.wikipedia.org/wiki/Drift_(geology)
landforms from erosion and deposition by gravity	Erosion	https://en.wikipedia.org/wiki/Erosion
distribution of water on earth	Earth	https://en.wikipedia.org/wiki/Earth
states of water	Properties of water	https://en.wikipedia.org/wiki/Properties_of_water
processes of the water cycle	Solar humidification	https://en.wikipedia.org/wiki/Solar_humidification
water distribution	Water Distribution Company, Marvdasht	https://en.wikipedia.org/wiki/Water_Distribution_Company,_Marvdasht
uses of water	Water-meadow	https://en.wikipedia.org/wiki/Water-meadow
safety of water	Water birth	https://en.wikipedia.org/wiki/Water_birth
water pollution	Water pollution	https://en.wikipedia.org/wiki/Water_pollution
glaciers	Glacier	https://en.wikipedia.org/wiki/Glacier
ponds and lakes	Nilssonia (turtle)	https://en.wikipedia.org/wiki/Nilssonia_(turtle)
wetlands	Wetland	https://en.wikipedia.org/wiki/Wetland
flooding	Flood	https://en.wikipedia.org/wiki/Flood
introduction to groundwater	Mary P. Anderson	https://en.wikipedia.org/wiki/Mary_P._Anderson
groundwater aquifers	Water extraction	https://en.wikipedia.org/wiki/Water_extraction
groundwater depletion	United States Geological Survey	https://en.wikipedia.org/wiki/United_States_Geological_Survey
groundwater pollution	Groundwater pollution	https://en.wikipedia.org/wiki/Groundwater_pollution
cleaning up groundwater	University of Massachusetts Amherst	https://en.wikipedia.org/wiki/University_of_Massachusetts_Amherst
ocean zones	Oceanic zone	https://en.wikipedia.org/wiki/Oceanic_zone
importance of the oceans	Marine Day	https://en.wikipedia.org/wiki/Marine_Day
seawater chemistry	Exoskeleton	https://en.wikipedia.org/wiki/Exoskeleton
wind waves	Wind wave	https://en.wikipedia.org/wiki/Wind_wave
tides	Tide	https://en.wikipedia.org/wiki/Tide
surface ocean currents	Southern Hemisphere	https://en.wikipedia.org/wiki/Southern_Hemisphere
how ocean currents moderate climate	Global warming	https://en.wikipedia.org/wiki/Global_warming
deep ocean currents	Thermohaline circulation	https://en.wikipedia.org/wiki/Thermohaline_circulation
coastal pollution	Large marine ecosystem	https://en.wikipedia.org/wiki/Large_marine_ecosystem
ocean garbage patch	Indian Ocean garbage patch	https://en.wikipedia.org/wiki/Indian_Ocean_garbage_patch
oil spills	Oil spill	https://en.wikipedia.org/wiki/Oil_spill
importance of the atmosphere	Baroclinity	https://en.wikipedia.org/wiki/Baroclinity
troposphere	Troposphere	https://en.wikipedia.org/wiki/Troposphere
stratosphere	Stratosphere	https://en.wikipedia.org/wiki/Stratosphere
mesosphere	Mesosphere	https://en.wikipedia.org/wiki/Mesosphere
thermosphere and beyond	Thermosphere	https://en.wikipedia.org/wiki/Thermosphere
pressure and density of the atmosphere	Venus	https://en.wikipedia.org/wiki/Venus
temperature of the atmosphere	Temperature record	https://en.wikipedia.org/wiki/Temperature_record
electromagnetic energy in the atmosphere	Navy Electronics Laboratory	https://en.wikipedia.org/wiki/Navy_Electronics_Laboratory
temperature and heat in the atmosphere	Earth	https://en.wikipedia.org/wiki/Earth
solar energy on earth	Earth	https://en.wikipedia.org/wiki/Earth
solar energy and latitude	Sun	https://en.wikipedia.org/wiki/Sun
heat transfer in the atmosphere	Alpine climate	https://en.wikipedia.org/wiki/Alpine_climate
heat budget of planet earth	Earth	https://en.wikipedia.org/wiki/Earth
greenhouse effect	Greenhouse effect	https://en.wikipedia.org/wiki/Greenhouse_effect
circulation in the atmosphere	Cyclogenesis	https://en.wikipedia.org/wiki/Cyclogenesis
local winds	List of local winds	https://en.wikipedia.org/wiki/List_of_local_winds
global wind belts	Wind	https://en.wikipedia.org/wiki/Wind
air quality	Air pollution	https://en.wikipedia.org/wiki/Air_pollution
types of air pollution	Outline of air pollution dispersion	https://en.wikipedia.org/wiki/Outline_of_air_pollution_dispersion
mercury pollution	Mercury (element)	https://en.wikipedia.org/wiki/Mercury_(element)
acid rain	Acid rain	https://en.wikipedia.org/wiki/Acid_rain
causes of air pollution	Pollution	https://en.wikipedia.org/wiki/Pollution
effects of air pollution on the environment	Kwai Chung Incineration Plant	https://en.wikipedia.org/wiki/Kwai_Chung_Incineration_Plant
effects of air pollution on human health	C. Arden Pope	https://en.wikipedia.org/wiki/C._Arden_Pope
ozone depletion	Ozone depletion	https://en.wikipedia.org/wiki/Ozone_depletion
reducing air pollution	Limhamns kalkbrott	https://en.wikipedia.org/wiki/Limhamns_kalkbrott
reducing ozone destruction	Ozone depletion	https://en.wikipedia.org/wiki/Ozone_depletion
weather versus climate	Global warming	https://en.wikipedia.org/wiki/Global_warming
clouds	Cloud	https://en.wikipedia.org/wiki/Cloud
precipitation	Precipitation	https://en.wikipedia.org/wiki/Precipitation
introduction to weather	Cirrus cloud	https://en.wikipedia.org/wiki/Cirrus_cloud
humidity	Humidity	https://en.wikipedia.org/wiki/Humidity
fog	Fog	https://en.wikipedia.org/wiki/Fog
air masses	Air mass	https://en.wikipedia.org/wiki/Air_mass
weather fronts	Weather front	https://en.wikipedia.org/wiki/Weather_front
thunderstorms	Thunderstorm	https://en.wikipedia.org/wiki/Thunderstorm
tornadoes	Tornado	https://en.wikipedia.org/wiki/Tornado
mid latitude cyclones	Extratropical cyclone	https://en.wikipedia.org/wiki/Extratropical_cyclone
hurricanes	Tropical cyclone	https://en.wikipedia.org/wiki/Tropical_cyclone
blizzards	Blizzard	https://en.wikipedia.org/wiki/Blizzard
weather maps	Weather map	https://en.wikipedia.org/wiki/Weather_map
effect of continental position on climate	Climate of India	https://en.wikipedia.org/wiki/Climate_of_India
effect of altitude and mountains on climate	Alpine climate	https://en.wikipedia.org/wiki/Alpine_climate
climate zones and biomes	Sub-Saharan Africa	https://en.wikipedia.org/wiki/Sub-Saharan_Africa
dry climates	Arid	https://en.wikipedia.org/wiki/Arid
temperate climates	Temperate climate	https://en.wikipedia.org/wiki/Temperate_climate
continental climates	Kppen climate classification	https://en.wikipedia.org/wiki/K%C3%B6ppen_climate_classification
polar climates	Polar climate	https://en.wikipedia.org/wiki/Polar_climate
reducing greenhouse gas pollution	Global warming	https://en.wikipedia.org/wiki/Global_warming
short term climate change	Eruption column	https://en.wikipedia.org/wiki/Eruption_column
long term climate change	Global Sea Level Observing System	https://en.wikipedia.org/wiki/Global_Sea_Level_Observing_System
global warming	Global warming	https://en.wikipedia.org/wiki/Global_warming
causes and effects of global warming	Nimbus program	https://en.wikipedia.org/wiki/Nimbus_program
impact of continued global warming	Global warming	https://en.wikipedia.org/wiki/Global_warming
carbon cycle and climate	Ocean	https://en.wikipedia.org/wiki/Ocean
how fossilization creates fossils	Fossil	https://en.wikipedia.org/wiki/Fossil
types of fossilization	Petrified wood	https://en.wikipedia.org/wiki/Petrified_wood
principles of relative dating	Radiocarbon dating	https://en.wikipedia.org/wiki/Radiocarbon_dating
determining relative ages	Kuiper quadrangle	https://en.wikipedia.org/wiki/Kuiper_quadrangle
correlation using relative ages	Period (geology)	https://en.wikipedia.org/wiki/Period_(geology)
geologic time scale	Geologic time scale	https://en.wikipedia.org/wiki/Geologic_time_scale
tree rings ice cores and varves	Varve	https://en.wikipedia.org/wiki/Varve
radioactive decay as a measure of age	Radioactive decay	https://en.wikipedia.org/wiki/Radioactive_decay
radiometric dating	Radiometric dating	https://en.wikipedia.org/wiki/Radiometric_dating
age of earth	Age of the Earth	https://en.wikipedia.org/wiki/Age_of_the_Earth
formation of the sun and planets	Magnetohydrodynamics	https://en.wikipedia.org/wiki/Magnetohydrodynamics
formation of earth	Earth pyramids of South Tyrol	https://en.wikipedia.org/wiki/Earth_pyramids_of_South_Tyrol
formation of the moon	Pre-Nectarian	https://en.wikipedia.org/wiki/Pre-Nectarian
early atmosphere and oceans	History of Earth	https://en.wikipedia.org/wiki/History_of_Earth
precambrian continents	Precambrian	https://en.wikipedia.org/wiki/Precambrian
precambrian plate tectonics	Alfred Krner	https://en.wikipedia.org/wiki/Alfred_Kr%C3%B6ner
metabolism and replication	Minimal genome	https://en.wikipedia.org/wiki/Minimal_genome
evolution of simple cells	Evolution	https://en.wikipedia.org/wiki/Evolution
evolution of eukaryotes to multicellular life	Multicellular organism	https://en.wikipedia.org/wiki/Multicellular_organism
life of the phanerozoic eon	Phanerozoic	https://en.wikipedia.org/wiki/Phanerozoic
history of paleozoic life	Paleozoic	https://en.wikipedia.org/wiki/Paleozoic
paleozoic plate tectonics	Antler orogeny	https://en.wikipedia.org/wiki/Antler_orogeny
paleozoic and mesozoic seas	Evolution of cephalopods	https://en.wikipedia.org/wiki/Evolution_of_cephalopods
history of mesozoic life	Mesozoic	https://en.wikipedia.org/wiki/Mesozoic
mesozoic plate tectonics	Moa Plate	https://en.wikipedia.org/wiki/Moa_Plate
history of cenozoic life	Cenozoic	https://en.wikipedia.org/wiki/Cenozoic
human evolution	Human evolution	https://en.wikipedia.org/wiki/Human_evolution
modern biodiversity	Pull of the recent	https://en.wikipedia.org/wiki/Pull_of_the_recent
cenozoic plate tectonics	Kutai basin	https://en.wikipedia.org/wiki/Kutai_basin
life and the geologic time scale	Geologic time scale	https://en.wikipedia.org/wiki/Geologic_time_scale
biological communities	Biocoenosis	https://en.wikipedia.org/wiki/Biocoenosis
roles in an ecosystem	Trimastix	https://en.wikipedia.org/wiki/Trimastix
flow of energy in ecosystems	Nature	https://en.wikipedia.org/wiki/Nature
flow of matter in ecosystems	Ecosystem	https://en.wikipedia.org/wiki/Ecosystem
nitrogen cycle in ecosystems	Marine Biological Laboratory	https://en.wikipedia.org/wiki/Marine_Biological_Laboratory
types of marine organisms	Bay mud	https://en.wikipedia.org/wiki/Bay_mud
marine food chains	Marine ecosystem	https://en.wikipedia.org/wiki/Marine_ecosystem
adaptation and evolution of populations	Selection shadow	https://en.wikipedia.org/wiki/Selection_shadow
population size	Population size	https://en.wikipedia.org/wiki/Population_size
extinction and radiation of life	CretaceousPaleogene extinction event	https://en.wikipedia.org/wiki/Cretaceous%E2%80%93Paleogene_extinction_event
growth of human populations	Ecological design	https://en.wikipedia.org/wiki/Ecological_design
revolutions in human population growth	Population growth	https://en.wikipedia.org/wiki/Population_growth
future human population growth	Tarantula (film)	https://en.wikipedia.org/wiki/Tarantula_(film)
agriculture and human population growth	Human overpopulation	https://en.wikipedia.org/wiki/Human_overpopulation
overpopulation and over consumption	Negative Population Growth	https://en.wikipedia.org/wiki/Negative_Population_Growth
sustainable development	Sustainable development	https://en.wikipedia.org/wiki/Sustainable_development
moon	Moon	https://en.wikipedia.org/wiki/Moon
sun	Sun	https://en.wikipedia.org/wiki/Sun
interior of the sun	Helioseismology	https://en.wikipedia.org/wiki/Helioseismology
surface features of the sun	Imaging spectroscopy	https://en.wikipedia.org/wiki/Imaging_spectroscopy
outer layers of the sun	Solar System	https://en.wikipedia.org/wiki/Solar_System
gravity in the solar system	Elena V. Pitjeva	https://en.wikipedia.org/wiki/Elena_V._Pitjeva
inner versus outer planets	Asteroid belt	https://en.wikipedia.org/wiki/Asteroid_belt
history of astronomy	History of astronomy	https://en.wikipedia.org/wiki/History_of_astronomy
planets of the solar system	List of gravitationally rounded objects of the Solar System	https://en.wikipedia.org/wiki/List_of_gravitationally_rounded_objects_of_the_Solar_System
venus	Venus	https://en.wikipedia.org/wiki/Venus
mars	Mars	https://en.wikipedia.org/wiki/Mars
jupiter	Jupiter	https://en.wikipedia.org/wiki/Jupiter
saturn	Saturn	https://en.wikipedia.org/wiki/Saturn
uranus	Uranus	https://en.wikipedia.org/wiki/Uranus
neptune	Neptune	https://en.wikipedia.org/wiki/Neptune
exoplanets	Exoplanet	https://en.wikipedia.org/wiki/Exoplanet
asteroids	Asteroid	https://en.wikipedia.org/wiki/Asteroid
comets	Comet	https://en.wikipedia.org/wiki/Comet
dwarf planets	Dwarf planet	https://en.wikipedia.org/wiki/Dwarf_planet
star constellations	Chinese constellations	https://en.wikipedia.org/wiki/Chinese_constellations
star classification	Stellar classification	https://en.wikipedia.org/wiki/Stellar_classification
life cycles of stars	Stellar evolution	https://en.wikipedia.org/wiki/Stellar_evolution
distance between stars	Interdimensional hypothesis	https://en.wikipedia.org/wiki/Interdimensional_hypothesis
galaxies	Galaxy	https://en.wikipedia.org/wiki/Galaxy
milky way	Milky Way	https://en.wikipedia.org/wiki/Milky_Way
universe	Universe	https://en.wikipedia.org/wiki/Universe
expansion of the universe	Metric expansion of space	https://en.wikipedia.org/wiki/Metric_expansion_of_space
big bang	Big Bang	https://en.wikipedia.org/wiki/Big_Bang
dark matter	Dark matter	https://en.wikipedia.org/wiki/Dark_matter
star formation	Star formation	https://en.wikipedia.org/wiki/Star_formation
main sequence star lives	Main sequence	https://en.wikipedia.org/wiki/Main_sequence
supergiants and supernovas	Blue supergiant	https://en.wikipedia.org/wiki/Blue_supergiant
neutron stars and black holes	Quasi-periodic oscillation	https://en.wikipedia.org/wiki/Quasi-periodic_oscillation
star clusters	Star cluster	https://en.wikipedia.org/wiki/Star_cluster
scientific investigation in life science	Intelligent design	https://en.wikipedia.org/wiki/Intelligent_design
scientific theories in life science	Intelligent design	https://en.wikipedia.org/wiki/Intelligent_design
basic and applied science in life science	Applied science	https://en.wikipedia.org/wiki/Applied_science
safety in the life sciences in life science	Chinese Academy of Sciences	https://en.wikipedia.org/wiki/Chinese_Academy_of_Sciences
cell biology in life science	Concept inventory	https://en.wikipedia.org/wiki/Concept_inventory
chemistry of life in life science	Chemistry	https://en.wikipedia.org/wiki/Chemistry
organic compounds in life science	Organic compound	https://en.wikipedia.org/wiki/Organic_compound
prokaryotic and eukaryotic cells in life science	Bacteria	https://en.wikipedia.org/wiki/Bacteria
viruses in life science	Virus	https://en.wikipedia.org/wiki/Virus
cell membrane in life science	Lipid bilayer	https://en.wikipedia.org/wiki/Lipid_bilayer
cell nucleus in life science	Cell nucleus	https://en.wikipedia.org/wiki/Cell_nucleus
organelles in life science	Organelle	https://en.wikipedia.org/wiki/Organelle
passive transport in life science	Passive transport	https://en.wikipedia.org/wiki/Passive_transport
active transport in life science	Active transport	https://en.wikipedia.org/wiki/Active_transport
light reactions of photosynthesis in life science	Photosynthesis	https://en.wikipedia.org/wiki/Photosynthesis
cellular respiration in life science	Respiration (physiology)	https://en.wikipedia.org/wiki/Respiration_(physiology)
process of cellular respiration in life science	Respiration (physiology)	https://en.wikipedia.org/wiki/Respiration_(physiology)
fermentation in life science	RPG Life Sciences	https://en.wikipedia.org/wiki/RPG_Life_Sciences
cell division in life science	Cell division	https://en.wikipedia.org/wiki/Cell_division
cell cycle in life science	Cell cycle	https://en.wikipedia.org/wiki/Cell_cycle
mitosis and cytokinesis in life science	Mitosis	https://en.wikipedia.org/wiki/Mitosis
asexual vs sexual reproduction in life science	Reproduction	https://en.wikipedia.org/wiki/Reproduction
meiosis in life science	Meiosis	https://en.wikipedia.org/wiki/Meiosis
mitosis vs meiosis in life science	Meiosis	https://en.wikipedia.org/wiki/Meiosis
mendels pea plants in life science	Gregor Mendel	https://en.wikipedia.org/wiki/Gregor_Mendel
mendels laws and genetics in life science	Genetics	https://en.wikipedia.org/wiki/Genetics
punnett squares in life science	Reginald Punnett	https://en.wikipedia.org/wiki/Reginald_Punnett
non mendelian inheritance in life science	Mendelian inheritance	https://en.wikipedia.org/wiki/Mendelian_inheritance
dna the genetic material in life science	DNA	https://en.wikipedia.org/wiki/DNA
dna structure and replication in life science	DNA	https://en.wikipedia.org/wiki/DNA
transcription of dna to rna in life science	DNA	https://en.wikipedia.org/wiki/DNA
protein synthesis and gene expression in life science	Gene expression	https://en.wikipedia.org/wiki/Gene_expression
mutations in life science	Mutation	https://en.wikipedia.org/wiki/Mutation
modern genetics in life science	Genetics	https://en.wikipedia.org/wiki/Genetics
polygenic traits in life science	Genetic disorder	https://en.wikipedia.org/wiki/Genetic_disorder
sex linked inheritance in life science	Genetics	https://en.wikipedia.org/wiki/Genetics
genetic disorders in life science	Genetic disorder	https://en.wikipedia.org/wiki/Genetic_disorder
recombinant dna in life science	Recombinant DNA	https://en.wikipedia.org/wiki/Recombinant_DNA
cloning in life science	Cloning	https://en.wikipedia.org/wiki/Cloning
